osm_key,osm_value,resistance,priority
landuse,forest,1,1
natural,wood,1,1
natural,scrub,3,1
natural,heath,8,1
landuse,meadow,5,1
natural,grassland,5,1
landuse,farmland,20,1
landuse,orchard,10,1
landuse,vineyard,15,1
landuse,allotments,100,1
landuse,grass,5,1
landuse,recreation_ground,250,2
leisure,park,200,2
leisure,golf_course,300,2
leisure,nature_reserve,2,2
highway,path,10,3
highway,footway,15,3
highway,bridleway,10,3
highway,cycleway,15,3
highway,track,20,3
waterway,ditch,50,4
waterway,stream,150,4
barrier,hedge,30,4
highway,residential,200,5
highway,service,250,5
highway,unclassified,200,5
landuse,residential,3500,5
highway,tertiary,500,6
highway,tertiary_link,500,6
landuse,cemetery,150,6
landuse,quarry,1500,6
natural,scree,250,6
natural,shingle,150,6
highway,secondary,1000,7
highway,secondary_link,1000,7
barrier,fence,800,7
barrier,wall,1500,7
barrier,cattle_grid,50,7
highway,primary,2000,8
highway,primary_link,2000,8
waterway,river,4000,8
natural,wetland,75,8
natural,bare_rock,300,8
landuse,commercial,4500,9
landuse,industrial,4500,9
landuse,retail,4500,9
railway,rail,3000,9
landuse,railway,3000,9
highway,trunk,5000,10
highway,trunk_link,5000,10
highway,motorway,5000,10
highway,motorway_link,5000,10
building,yes,5000,10
natural,cliff,4000,10
